TIME,Elapsed time since ignition                       ,s    
GASC_3,Carbon Dioxide concentration. hallway outside remote bedroom. Data    ,Vol %
GASC_4,Carbon Dioxide concentration. hallway outside remote bedroom. Range   ,V
GASC_5,Oxygen concentration. hallway outside remote bedroom. Data            ,Vol %
GASF_1,Carbon Monoxide concentration. front door hallway. Data   ,Vol %
GASF_2,Carbon Monoxide concentration. front door hallway. Range  ,V
GASF_3,Carbon Dioxide concentration. front door hallway. Data    ,Vol %
GASF_4,Carbon Dioxide concentration. front door hallway. Range   ,V
GASF_5,Oxygen concentration. front door hallway. Data            ,Vol %
GASB_1,Carbon Monoxide concentration. main bedroom. Data   ,Vol %
GASB_2,Carbon Monoxide concentration. main bedroom. Range  ,V
GASB_3,Carbon Dioxide concentration. main bedroom. Data    ,Vol %
GASB_4,Carbon Dioxide concentration. main bedroom. Range   ,V
GASB_5,Oxygen concentration. main bedroom. Data            ,Vol %
Heat1A,Heat Alarm 1. remote bedroom,mV   
CO2A,Carbon Monoxide Alarm 2. remote bedroom,mV   
Ion3A,Ionization Smoke Alarm 3. remote bedroom,mV   
Pho1A,Photoelectric Smoke Alarm 1. remote bedroom,mV   
CO3A,Carbon Monoxide Alarm 3. remote bedroom,mV   
Pho3A,Photoelectric Smoke Alarm 3. remote bedroom,mV   
Ion4A,Ionization Smoke Alarm 4. remote bedroom,mV   
CO1A,Carbon Monoxide Alarm 1. remote bedroom,mV   
Heat1C,Heat Alarm 1. hallway outside remote bedroom,mV   
CO2C,Carbon Monoxide Alarm 2. hallway outside remote bedroom,mV   
Ion3C,Ionization Smoke Alarm 3. hallway outside remote bedroom,mV   
Pho1C,Photoelectric Smoke Alarm 1. hallway outside remote bedroom,mV   
CO3C,Carbon Monoxide Alarm 3. hallway outside remote bedroom,mV   
Pho3C,Photoelectric Smoke Alarm 3. hallway outside remote bedroom,mV   
Ion4C,Ionization Smoke Alarm 4. hallway outside remote bedroom,mV   
CO1C,Carbon Monoxide Alarm 1. hallway outside remote bedroom,mV   
Heat1D,Heat Alarm 1. hallway outside main bedroom,mV   
CO2D,Carbon Monoxide Alarm 2. hallway outside main bedroom,mV   
Ion3D,Ionization Smoke Alarm 3. hallway outside main bedroom,mV   
Pho1D,Photoelectric Smoke Alarm 1. hallway outside main bedroom,mV   
CO3D,Carbon Monoxide Alarm 3. hallway outside main bedroom,mV   
Pho3D,Photoelectric Smoke Alarm 3. hallway outside main bedroom,mV   
Ion4D,Ionization Smoke Alarm 4. hallway outside main bedroom,mV   
CO1D,Carbon Monoxide Alarm 1. hallway outside main bedroom,mV   
Heat1B,Heat Alarm 1. main bedroom,mV   
CO2B,Carbon Monoxide Alarm 2. main bedroom,mV   
Ion3B,Ionization Smoke Alarm 3. main bedroom,mV   
Pho1B,Photoelectric Smoke Alarm 1. main bedroom,mV   
CO3B,Carbon Monoxide Alarm 3. main bedroom,mV   
Pho3B,Photoelectric Smoke Alarm 3. main bedroom,mV   
Ion4B,Ionization Smoke Alarm 4. main bedroom,mV   
CO1B,Carbon Monoxide Alarm 1. main bedroom,mV   
Asp1A,Aspirated Photoelectric Smoke Alarm 1. remote bedroom,mV   
